symbol,date,time,bid,ofr,bidsiz,ofrsiz,mode,ex,mmid,ts
A,2022.02.20,09:42:04,38.380000000000002,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:04
A,2022.02.20,09:42:04,38.369999999999997,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:04
A,2022.02.20,09:42:04,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:04
A,2022.02.20,09:42:05,38.369999999999997,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.380000000000002,38.409999999999996,1,3,12,'P',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.380000000000002,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.369999999999997,38.409999999999996,1,3,12,'P',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.369999999999997,38.420000000000001,1,1,12,'I',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.369999999999997,38.420000000000001,1,3,12,'P',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.380000000000002,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.380000000000002,38.420000000000001,1,3,12,'P',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.39,38.420000000000001,3,1,12,'N',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.380000000000002,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.369999999999997,38.420000000000001,1,3,12,'P',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.380000000000002,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:05
A,2022.02.20,09:42:05,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:05
A,2022.02.20,09:42:06,38.380000000000002,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.380000000000002,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.369999999999997,38.409999999999996,1,3,12,'P',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.39,38.409999999999996,3,1,12,'N',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.380000000000002,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.380000000000002,38.409999999999996,1,3,12,'P',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.369999999999997,38.409999999999996,1,3,12,'I',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.380000000000002,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.369999999999997,38.420000000000001,1,1,12,'I',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.369999999999997,38.409999999999996,1,3,12,'I',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.369999999999997,38.409999999999996,1,3,12,'P',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.380000000000002,38.409999999999996,2,4,12,'T',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.380000000000002,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:06
A,2022.02.20,09:42:06,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:06
A,2022.02.20,09:42:07,38.369999999999997,38.420000000000001,1,1,12,'I',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.369999999999997,38.409999999999996,1,3,12,'I',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.369999999999997,38.420000000000001,1,1,12,'I',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.380000000000002,38.409999999999996,2,4,12,'T',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.380000000000002,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.380000000000002,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.369999999999997,38.409999999999996,1,3,12,'I',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.380000000000002,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.380000000000002,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.369999999999997,38.420000000000001,1,1,12,'I',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:07
A,2022.02.20,09:42:07,38.369999999999997,38.409999999999996,1,3,12,'I',null,2022.02.20T14:42:07
A,2022.02.20,09:42:08,38.369999999999997,38.420000000000001,1,3,12,'P',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.369999999999997,38.420000000000001,1,1,12,'I',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.380000000000002,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.380000000000002,38.420000000000001,1,3,12,'P',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.380000000000002,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.369999999999997,38.420000000000001,1,3,12,'P',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.380000000000002,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.380000000000002,38.420000000000001,1,3,12,'P',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.380000000000002,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.399999999999998,38.409999999999996,1,1,12,'T',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.369999999999997,38.420000000000001,1,3,12,'P',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.380000000000002,38.420000000000001,1,3,12,'P',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.380000000000002,38.409999999999996,1,3,12,'P',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.39,38.409999999999996,3,1,12,'N',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.380000000000002,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.369999999999997,38.409999999999996,1,3,12,'I',null,2022.02.20T14:42:08
A,2022.02.20,09:42:08,38.369999999999997,38.409999999999996,1,3,12,'P',null,2022.02.20T14:42:08
A,2022.02.20,09:42:09,38.380000000000002,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:09
A,2022.02.20,09:42:09,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:09
A,2022.02.20,09:42:09,38.380000000000002,38.409999999999996,2,4,12,'T',null,2022.02.20T14:42:09
A,2022.02.20,09:42:09,38.399999999999998,38.409999999999996,1,4,12,'T',null,2022.02.20T14:42:09
A,2022.02.20,09:42:09,38.380000000000002,38.409999999999996,2,3,12,'P',null,2022.02.20T14:42:09
A,2022.02.20,09:42:09,38.380000000000002,38.409999999999996,1,3,12,'P',null,2022.02.20T14:42:09
A,2022.02.20,09:42:09,38.380000000000002,38.409999999999996,1,3,12,'I',null,2022.02.20T14:42:09
A,2022.02.20,09:42:09,38.39,38.420000000000001,3,1,12,'N',null,2022.02.20T14:42:09
A,2022.02.20,09:42:09,38.39,38.420000000000001,2,1,12,'N',null,2022.02.20T14:42:09
